start,end,lane16,lane17,lane18,lane19,lane30,lane31,lane32,lane33
1680599040,1680602640,290,362,81,452,322,317,537,460
1680602640,1680606240,289,394,58,422,353,272,361,223
1680606240,1680609840,245,315,45,435,323,231,275,179
1680609840,1680613440,81,209,155,259,236,159,205,155
1680613440,1680617040,62,153,130,215,175,87,198,116
1680617040,1680620640,33,97,89,129,129,51,120,128
1680620640,1680624240,21,85,91,80,97,36,86,73
1680624240,1680627840,7,42,48,67,76,18,65,48
1680627840,1680631440,2,31,27,47,59,9,40,30
1680631440,1680635040,5,24,37,29,38,6,33,23
1680635040,1680638640,3,15,17,18,31,6,27,17
1680638640,1680642240,7,36,32,32,36,20,49,33
1680642240,1680645840,14,60,55,36,43,20,77,53
1680645840,1680649440,25,128,109,47,90,39,130,120
1680649440,1680653040,38,159,103,93,123,71,150,145
1680653040,1680656640,35,149,114,119,120,77,235,171
1680656640,1680660240,53,180,123,164,187,93,264,169
1680660240,1680663840,83,216,143,164,240,171,311,161
1680663840,1680667440,67,196,115,160,265,176,253,154
1680667440,1680671040,71,174,137,135,256,196,296,194
1680671040,1680674640,71,233,142,153,246,200,326,208
1680674640,1680678240,114,224,149,187,279,226,365,240
1680678240,1680681840,77,203,139,197,259,209,362,248
1680681840,1680685440,91,230,87,213,226,201,363,243
1680685440,1680689040,114,250,35,192,197,162,334,216
1680689040,1680692640,107,233,21,157,243,157,258,153
1680692640,1680696240,91,230,42,182,225,159,209,152
1680696240,1680699840,58,150,108,156,188,105,210,133
1680699840,1680703440,37,112,98,115,123,51,148,99
1680703440,1680707040,31,81,78,104,93,26,107,85
1680707040,1680710640,16,69,65,69,52,11,60,50
1680710640,1680714240,1,39,49,55,68,16,50,36
1680714240,1680717840,0,31,29,32,38,8,29,18
1680717840,1680721440,0,17,18,17,22,4,19,24
1680721440,1680725040,1,16,16,11,25,7,17,24
1680725040,1680728640,3,21,19,23,53,19,43,22
1680728640,1680732240,7,56,46,57,62,24,78,52
1680732240,1680735840,48,175,150,130,179,168,264,175
1680735840,1680739440,173,339,309,265,262,275,420,324
1680739440,1680743040,171,332,238,279,225,196,451,267
